Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"403875520309",Orange Motorcycle LED Headlight & Fairing For KTM EXC SXF MX Dirt Bike Supermoto,,,"0","FIXED_PRICE","USD",77.98,,,77.98,"2","","2","","Sep-08-22 13:55:10 PDT","Jun-08-23 13:55:10 PDT","Headlight Assemblies","178022","","","NEW","","US","744110846706","",""
"403875520310",Black Motorcycle LED Headlight & Fairing For KTM EXC SXF MX Dirt Bike Supermoto,,,"4","FIXED_PRICE","USD",59.15,,,59.15,"8","","21","","Sep-08-22 13:55:10 PDT","Jun-08-23 13:55:10 PDT","Headlight Assemblies","178022","","","NEW","","US","","",""
"403875520311",White Motorcycle LED Headlight & Fairing For KTM EXC SXF MX Dirt Bike Supermoto,,,"7","FIXED_PRICE","USD",59.15,,,59.15,"7","","23","","Sep-08-22 13:55:10 PDT","Jun-08-23 13:55:10 PDT","Headlight Assemblies","178022","","","NEW","","US","","",""
"403878070386",Sur Ron X Side Fender Upgrade - Extended Length - Fits Light Bee X S Models,Color=Black;Red;White,,"30","FIXED_PRICE","USD",23.98,,,23.98,"31","","33","","Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","7445043797709","07445043797709","Does not apply"
"403878070386",Sur Ron X Side Fender Upgrade - Extended Length - Fits Light Bee X S Models,Color=Black,ffd81938-367b-4759-9011-033b8d479204,"10","FIXED_PRICE","USD",23.98,,,,"23",,,,"Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","7445043797709","07445043797709","Does not apply"
"403878070386",Sur Ron X Side Fender Upgrade - Extended Length - Fits Light Bee X S Models,Color=White,9693ed07-3534-4081-8971-5806dc297957,"10","FIXED_PRICE","USD",23.98,,,,"4",,,,"Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","7445043797709","07445043797709","Does not apply"
"403878070386",Sur Ron X Side Fender Upgrade - Extended Length - Fits Light Bee X S Models,Color=Red,761e538a-0a90-47f0-8725-b920ce8c5360,"10","FIXED_PRICE","USD",23.98,,,,"4",,,,"Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","7445043797709","07445043797709","Does not apply"
"403878070387",Sur Ron X Rear Fender Upgrade Extended Rear Fender For Sur Ron Light Bee X S,Color=White;Red;Black,,"30","FIXED_PRICE","USD",39.98,,,39.98,"6","","5","","Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","313020660667","0313020660667","Does not apply"
"403878070387",Sur Ron X Rear Fender Upgrade Extended Rear Fender For Sur Ron Light Bee X S,Color=Black,3256803230052233_193,"10","FIXED_PRICE","USD",39.98,,,,"2",,,,"Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","313020660667","0313020660667","Does not apply"
"403878070387",Sur Ron X Rear Fender Upgrade Extended Rear Fender For Sur Ron Light Bee X S,Color=White,3256803230052233_29,"10","FIXED_PRICE","USD",39.98,,,,"2",,,,"Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","313020660667","0313020660667","Does not apply"
"403878070387",Sur Ron X Rear Fender Upgrade Extended Rear Fender For Sur Ron Light Bee X S,Color=Red,3256803230052233_10,"10","FIXED_PRICE","USD",39.98,,,,"2",,,,"Sep-09-22 21:57:12 PDT","Jun-09-23 21:57:12 PDT","Fenders","35561","","","NEW","","US","313020660667","0313020660667","Does not apply"
"403881076709",Squeegee For Shower Mirror Window Glass Door Home Office House Cleaner Car Glass,Color=Black;White,,"20","FIXED_PRICE","USD",12.99,,,12.99,"0","","0","","Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Cleaning Products","259621","","","NEW","","US","","",""
"403881076709",Squeegee For Shower Mirror Window Glass Door Home Office House Cleaner Car Glass,Color=Black,,"10","FIXED_PRICE","USD",12.99,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Cleaning Products","259621","","","NEW","","US","","",""
"403881076709",Squeegee For Shower Mirror Window Glass Door Home Office House Cleaner Car Glass,Color=White,,"10","FIXED_PRICE","USD",12.99,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Cleaning Products","259621","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Black;Red;Pink;Sky Blue;Purple;Lime Green;Orange;Army Green,,"80","FIXED_PRICE","USD",5.75,,,5.75,"0","","0","","Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Black,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Red,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Pink,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Sky Blue,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Purple,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Lime Green,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Orange,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
"403881076710",SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,Color=Army Green,,"10","FIXED_PRICE","USD",5.75,,,,"0",,,,"Sep-11-22 18:06:55 PDT","Jun-11-23 18:06:55 PDT","Harnesses","66783","","","NEW","","US","","",""
