Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
4pcs Wheel and Tire Set 110x47mm For Traxxas Slash/Rustler 1:10 RC Truck/Basher ,314075703822,Non-promoted,9,"1,114",11,-52.20%,10,-41.70%,210,747,-52.60%,136,-55.60%,860,254,6,2,0,3,1,0.40%,0,0.00%
1/10 Honda NSX Clear RC Body Shell For 1/10 RC Drift Cars MST Yokomo,314136567466,Non-promoted,9,"6,113",85,-25.40%,112,-26.50%,669,"4,218",-62.00%,"1,029",-26.80%,"4,575","1,538",39,6,0,21,12,0.40%,0,0.00%
"LED Light Bar Set Front & Rear Spotlight for 1/10 RC Crawler Car VXL, XL-5 Slash",314386666033,Non-promoted,9,968,12,-29.40%,88,-18.70%,360,312,-48.90%,196,-26.60%,368,600,17,2,0,11,4,1.30%,1,5.90%
Type C to 5V Balance Plug Charging Cable for GoPro Hero 6/7/8/9/10 For FPV Drone,314027039254,Non-promoted,8,558,4,-63.60%,16,-31.00%,94,291,-45.40%,153,-53.50%,305,253,1,0,0,0,1,0.00%,0,0.00%
Beitian BN-220 Dual GPS Receiver Navigation Module For RC Racing FPV Drones,314126551735,Non-promoted,8,557,1,-87.50%,34,-30.00%,142,225,-4.30%,155,-26.50%,231,326,1,0,0,1,0,0.20%,0,0.00%
1/10 Subaru Impreza WRX Clear RC Body Shell For 1/10 RC Drift Cars MST Yokomo,314136567468,Non-promoted,8,"6,910",184,-39.10%,90,-24.10%,961,"4,704",-45.10%,971,-7.10%,"5,491","1,419",38,9,7,9,13,0.30%,1,2.60%
1/10 Polycarbonate Chassis Cover Dust Cover Clear Body For TAMIYA TT02,314136567469,Non-promoted,8,"1,669",16,-59.00%,69,-29.80%,174,"1,000",-78.40%,410,-32.20%,"1,044",625,8,1,0,5,2,0.40%,0,0.00%
1/10 1961 Chevrolet Impala Clear RC Body Shell For 1/10 RC Drift Cars MST Yokomo,314136567470,Non-promoted,8,"5,544",34,-58.00%,68,-38.20%,472,"4,309",-69.50%,661,-44.00%,"4,577",967,20,6,0,8,6,0.30%,0,0.00%
CNHL 2S 7.4V 5600mAh 120C Hard Case Lipo Battery Deans T Plug for RC Car Truck,314319007381,Non-promoted,1,"1,568",56,-22.20%,84,3.70%,303,769,-36.10%,356,-31.80%,899,669,20,4,0,7,9,0.70%,0,0.00%
Front Bumper Spotlights/Head Searchlights/Tail Light For TRX4 Bronco 92076-4,314319590310,Non-promoted,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
